0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;27.0328,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
