0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,2;1,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;20.0749,0;1,0;1,0;1,0;1,0;1,0;1,0;1
