0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;16.0868,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1
